#,Year,Month,Project,Location Name,Lat,Long,Date/time started,Date/Time Deployed,Date/Time Recovered,Date/Time Stopped,Depth (meters),Device Type,Device Number,Hydrophone Sensitivity,Gain,Sampling Rate,Duty Cycle,SD card #,Files erased form SD card after download?,Location of Data,Uploaded to Drive,Notes,On Helen's Backup
3,2014,11,MWEA,T2C,38.336,-74.505,11/3/14 12:06,11/4/14 8:23,4/23/15 14:00,4/24/15 14:56,45,C-POD,2491,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1Czk6i3gMAkhYz5RwuTaL8kSE5PRZ8UrA ; Bottlenose: https://drive.google.com/open?id=15lpiN2cd_dwWk8MEYlERaoLpOxF0A7Ve,,
2,2014,11,MWEA,T1C,38.336,-74.949,11/3/14 12:14,11/4/14 12:14,4/22/15 13:07,4/24/15 15:03,19,C-POD,2493,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1XYyLxhyQoMeYsXzUmY4VUMxyUBHlohhK,,
1,2014,11,MWEA,A5C,38.336,-74.723,11/3/14 12:22,11/5/14 10:41,4/22/15 13:07,4/23/15 15:00,27.5,C-POD,2497,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1HiBQee0uR03Dso4coZrvjm7etK91J0Z0,,
5,2015,4,MWEA,T1C,38.336,-74.949,4/6/15 15:51,4/22/15 7:19,7/8/15 11:04,7/10/15 11:32,19,C-POD,2496,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1QlQmzDqOMIORhGYqeVUb1K8UG6BzKVye,,
4,2015,4,MWEA,A5C,38.336,-74.723,4/6/15 16:14,4/22/15 9:15,7/8/15 8:53,7/10/15 12:02,27.5,C-POD,2498,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=13N3cjM-cEXH1oXE7u_SD-XxZ-bVrBS9-,,
6,2015,4,MWEA,T2C,38.336,-74.505,4/22/15 20:24,4/23/15 8:32,7/9/15 10:45,7/10/15 11:46,45,C-POD,2494,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1Vjfi_TWr5JUZXIO2WQMqAi2rlbqxKyJo ; Bottlenose: https://drive.google.com/open?id=1aKLrPn-4OrFxiopHuxNKTiiBLzn-cutc,,
7,2015,4,MWEA,T3C,38.336,-74.35,4/6/15 16:03,4/23/15 10:02,7/9/15 8:15,7/10/15 11:41,42,C-POD,2492,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1FjhMS_b0SgGAMRq4EYWGyZ-BGQJzV1s4 ; Bottlenose: https://drive.google.com/open?id=1hFJ8-Pkwj_ZK4Ooh1RhaBo5iSfFujVf3,,
8,2015,7,MWEA,A5C,38.336,-74.723,7/6/15 10:02,7/8/15 9:26,9/16/15 9:55,9/21/15 10:03,27.5,C-POD,2572,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=13cJMe_eBVBQ_3XEkzUdxXH72gibhq1Zl,,
9,2015,7,MWEA,T1C,38.336,-74.949,7/6/15 10:24,7/8/15 11:38,9/16/15 13:54,9/21/15 10:12,19,C-POD,2491,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1cvkPBTZ7raQG4AVj0KVO9Pu8o48yJjvB,,
11,2015,7,MWEA,T3C,38.336,-74.35,7/6/15 10:15,7/9/15 10:06,9/17/15 8:45,9/21/15 10:20,42,C-POD,2493,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=1uk0YYulgHUNy5L9QdtsAYs0kTxZBllkG,,
10,2015,7,MWEA,T2C,38.336,-74.505,7/6/15 10:37,7/9/15 11:07,9/16/15 8:13,9/21/15 10:27,45,C-POD,2497,NA,NA,NA,Continuous,,,,,,
12,2015,7,ChesBay,Patuxent River Pier,38.317402,-76.451061,7/16/15 14:12,7/16/15 16:38,7/22/17 13:48,7/22/15 14:20,1.5,C-POD,2591,NA,NA,NA,Continuous,,,,,,
13,2015,7,ChesBay,Patuxent River Pier,38.317402,-76.451061,7/22/15 13:38,7/22/15 14:00,7/27/15 10:22,7/27/15 10:22,1.5,C-POD,2590,NA,NA,NA,Continuous,,,,,,
14,2015,7,ChesBay,Patuxent River Pier,38.317402,-76.451061,7/29/15 11:46,7/29/15 14:28,8/5/15 3:54,8/5/15 3:54,1.5,C-POD,2592,NA,NA,NA,Continuous,,,,,,
15,2015,8,ChesBay,Patuxent River Pier,38.317402,-76.451061,8/5/15 10:16,8/5/15 10:44,8/11/15 12:12,8/17/15 9:58,1.5,C-POD,2593,NA,NA,NA,Continuous,,,,,,
16,2015,8,ChesBay,Patuxent River Pier,38.317402,-76.451061,8/11/15 12:02,8/11/15 13:09,8/18/15 9:25,8/18/15 9:53,1.5,C-POD,2591,NA,NA,NA,Continuous,,,,,,
17,2015,8,ChesBay,Patuxent River Pier,38.317402,-76.451061,8/18/15 9:16,8/18/15 9:32,8/18/15 11:32,8/18/15 11:32,1.5,C-POD,2590,NA,NA,NA,Continuous,,,,,,
18,2015,9,ChesBay,Patuxent River Pier,38.317402,-76.451061,9/1/15 9:46,9/1/15 13:17,9/2/15 15:51,9/2/15 15:51,1.5,C-POD,2593,NA,NA,NA,Continuous,,,,,,
21,2015,9,MWEA,T2C,38.336,-74.505,9/11/15 16:37,9/16/15 8:33,12/9/15 11:33,12/13/15 16:17,45,C-POD,2496,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=1nVgGRnaOmucQtpbnDYoF8DDR0wbvWeGP ; Bottlenose: https://drive.google.com/open?id=1Mg35woBWGlxRNf_krm3OGBYx3W4RjrF4,,
19,2015,9,MWEA,A5C,38.336,-74.723,9/11/15 16:32,9/16/15 10:19,12/9/15 12:47,11/12/15 6:07,27.5,C-POD,2492,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1lNMf1zxyHK8IsWm-qwZLjCs-_ra1xpHJ,,
20,2015,9,MWEA,T1C,38.336,-74.949,9/11/15 16:50,9/16/15 14:39,12/10/15 9:19,12/13/15 16:27,19,C-POD,2498,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1ikQtCf4OjSwYubAjEfAUiy4o23QEKteP,,
22,2015,9,MWEA,T3C,38.336,-74.35,9/11/15 16:25,9/17/15 8:42,12/9/15 9:53,12/13/15 16:24,42,C-POD,2494,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=1hFiF_os4mWmzEMIKxYE7qiUyBrobytm1,,
23,2015,10,ChesBay,Patuxent River Pier,38.317402,-76.451061,10/6/15 9:56,10/6/15 10:26,10/8/15 14:58,10/8/15 15:18,1.5,C-POD,2590,NA,NA,NA,Continuous,,,,,,
27,2015,12,MWEA,T3C,38.336,-74.35,12/7/15 16:47,12/9/15 9:20,2/27/15 7:33,2/29/16 16:22,42,C-POD,2491,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=16xAeECJGBrxoexE86xmGuVCdXpGeWI-j ; Common: https://drive.google.com/open?id=1bE6q6ZW8G7cO5L9D5WALQq-geOnoQ_9z,,
26,2015,12,MWEA,T2C,38.336,-74.505,12/7/15 16:59,12/9/15 10:54,2/27/16 10:49,2/29/16 16:38,45,C-POD,2493,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1GyxqxaPRuUgcCrIw330w9wShbK7nSYXc ; https://drive.google.com/open?id=1oo-t986iurvnaNpWwdZcbkoUUlY4d5LQ,,
24,2015,12,MWEA,A5C,38.336,-74.723,12/7/15 16:33,12/9/15 12:05,2/28/16 9:37,2/29/16 16:29,27.5,C-POD,2497,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1kAle4JiWzd7re2NtXdgLGTNU2sMXr2i8,,
25,2015,12,MWEA,T1C,38.336,-74.949,12/7/15 16:18,12/10/15 8:52,2/27/16 19:12,2/29/16 16:06,19,C-POD,2572,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1skDId1TbXuhd4PeGl1QfhhABX2tV6HBT,,
31,2016,2,MWEA,T2C,38.336,-74.505,2/25/16 12:32,2/27/16 11:21,5/17/16 9:31,5/19/16 9:46,45,C-POD,2494,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1WdGd8siH2atunqdNjQmo_Nvtt1ySPBOc,,
29,2016,2,MWEA,T1C,38.336,-74.949,2/25/16 12:20,2/27/16 19:06,5/18/16 7:39,5/19/16 9:39,19,C-POD,2492,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1Zt2HurSMaGhZ7b4BA9w3rhnQL0TqPOhc,,
30,2016,2,MWEA,T1C,38.336,-74.949,2/26/16 0:00,2/27/16 19:06,5/18/16 7:39,4/24/16 15:24,19,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,2 min on and 4 min off,,,SM3M 2016 Feb-2018 Apr,,,
28,2016,2,MWEA,A5C,38.336,-74.723,2/25/16 12:46,2/28/16 9:48,5/18/16 7:05,2/28/16 1:44,27.5,C-POD,2496,NA,,,Continuous,,,,,No data,
32,2016,3,ChesBay,Potomac River,37.913944,-76.257589,3/28/16 8:22,4/22/16 6:34,6/30/16 0:11,7/30/16 0:00,1.5,C-POD,2591,NA,,,Continuous,,,,,Was not flashing when opened Sept 14,
38,2016,5,MWEA,T3C,38.336,-74.35,5/13/16 12:43,5/17/16 8:11,8/19/16 11:39,12/10/16 1:09,42,C-POD,2497,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=1w_guQw47YqmHGiJ7zoQO0QYTF_AYnkH9 ; Common: https://drive.google.com/open?id=1Jn_YtguoOsLw8DEBm0QBbf5uJGrnCMCD,,
37,2016,5,MWEA,T2C,38.336,-74.505,5/13/16 12:52,5/17/16 9:51,7/28/16 8:29,7/29/16 9:09,45,C-POD,2572,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=19sreqXJ4tVPABCLuOf107K-G9IzLiFF0 ; Common: https://drive.google.com/open?id=1UoXpOdl2nAA8TmCoXBsIC9GzKi8RsyNV,,
33,2016,5,MWEA,A5C,38.336,-74.723,5/13/16 12:35,5/18/16 6:38,7/27/16 7:32,7/29/16 9:06,27.5,C-POD,2491,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1GeOXuWJ-C9y38fIX3ZcvYlwbHRH18xgN,All previous deployments not standardized to EST,
34,2016,5,MWEA,A5C,38.336,-74.723,5/17/16 0:00,5/18/16 6:38,7/27/16 7:32,7/11/16 6:10,27.5,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,2 min on and 4 min off,,,SM3M 2016 Feb-2018 Apr,,,
35,2016,5,MWEA,T1C,38.336,-74.949,5/13/16 12:27,5/18/16 7:13,7/26/16 13:01,7/29/16 9:30,19,C-POD,2493,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1-9MBLu0fF2k1x7uCOJl5vOz8BGZsh8Sw,,
36,2016,5,MWEA,T1C,38.336,-74.949,5/18/16 0:00,5/18/16 7:13,7/26/16 13:01,6/24/16 3:48,19,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,2 min on and 4 min off,,,SM3M 2016 Feb-2018 Apr,,,
39,2016,7,ChesBay,Patuxent River Pier,38.317402,-76.451061,7/6/16 15:01,7/6/16 15:15,7/22/16 11:43,7/23/16 12:34,1.5,C-POD,2492,NA,NA,NA,Continuous,,,,,,
43,2016,7,MWEA,T2C,38.336,-74.505,7/23/16 11:35,7/24/16 8:54,11/9/16 10:02,11/10/16 11:02,45,C-POD,2593,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1IGWqMTk0w_XXaESZppfW0WIIRFiXn0lC ; Bottlenose: https://drive.google.com/open?id=1JSy7wcND1tpzkRqdhxfdtJ1I4ysMKVnz,,
42,2016,7,MWEA,T1C,38.336,-74.949,7/23/16 11:59,7/26/16 13:31,11/9/16 12:10,11/10/16 11:06,19,C-POD,2494,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=19v17uS9ieOrJtgIAWo2PqrekNyp21Zfs,,
40,2016,7,MWEA,A5C,38.336,-74.723,7/23/16 11:21,7/27/16 7:57,11/9/16 7:27,11/10/16 11:17,27.5,C-POD,2590,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1oTbKP-KryOB542wghjguGzeIoz-KzZEa,,
41,2016,7,MWEA,A5C,38.336,-74.723,7/27/16 6:00,7/27/16 7:57,11/9/16 7:27,9/25/16 2:38,27.5,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,2 min on and 4 min off,,,SM3M 2016 Feb-2018 Apr,,,
44,2016,7,MWEA,T3C,38.336,-74.35,7/23/16 11:16,7/28/16 7:53,11/9/16 9:04,11/10/16 11:28,42,C-POD,2807,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=17xINtL_lOplcGt3oxD7BrkzEUCGAWJR4,,
45,2016,7,MWEA,W3C,38.396,-74.784,7/23/16 11:42,7/28/16 11:04,11/9/16 11:13,11/10/16 11:12,,C-POD,2592,NA,NA,NA,Continuous,,,,,,
46,2016,7,MWEA,W3C,38.396,-74.784,7/28/16 5:42,7/28/16 11:04,11/9/16 11:13,9/14/16 2:02,,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,2 min on and 4 min off,,,SM3M 2016 Feb-2018 Apr,,CS1,
47,2016,11,MWEA,A5C,38.336,-74.723,11/7/16 21:06,11/9/16 7:52,1/11/17 11:17,1/13/17 10:02,27.5,C-POD,2846,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1qXGowi3XWKQ5nov2IZP-Wl_NE9HbXBvA,,
50,2016,11,MWEA,T3C,38.336,-74.35,11/6/16 13:14,11/9/16 9:27,1/10/17 11:19,1/13/17 10:04,42,C-POD,2572,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1fB1bZl3IOt9HactJ-TJAZndBuckHnWNl ; Bottlenose: https://drive.google.com/open?id=1hSGJB5armt6BRCvngLPy9l7wWj2L8d1K,,
49,2016,11,MWEA,T2C,38.336,-74.505,11/6/16 12:53,11/9/16 10:17,1/10/17 14:39,1/13/17 10:08,45,C-POD,2493,NA,NA,NA,Continuous,,,,Bottlenose: https://drive.google.com/open?id=16gXAN-SRiOKM4_KDG6hMmuz305zJzAfs,,
51,2016,11,MWEA,W3C,38.396,-74.784,11/6/16 12:31,11/9/16 11:33,1/11/17 15:43,1/13/17 10:11,,C-POD,2491,NA,NA,NA,Continuous,,,,,,
52,2016,11,MWEA,W3C/CS1,38.353,-74.742,11/9/16 8:18,11/9/16 11:33,1/11/17 15:43,1/13/17 3:12,,SM3M,,165 dB re 1V/µPa,12 dB re 1 µPa,,,,,SM3M 2016 Feb-2018 Apr,,,
48,2016,11,MWEA,T1C,38.336,-74.949,11/6/16 12:44,11/9/16 12:41,1/11/17 19:25,1/13/17 10:17,19,C-POD,2496,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=150JAWoToPUpy3XMSSS-PWmNGbTSVemxk,,
95,2017,8,ChesBay,Patuxent River Pier,38.317402,-76.451061,8/25/17 9:30,8/25/15 9:48,8/29/15 19:26,8/29/15 19:26,1.5,C-POD,2592,NA,NA,NA,Continuous,,,,,,
57,2017,1,MWEA,T3C,38.336,-74.35,1/9/17 8:13,1/10/17 12:05,4/5/17 7:21,4/6/17 10:19,42,C-POD,2590,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1PrDj2O6Nzd5f38oZy2Qs5tcSvz7-yll2,,
56,2017,1,MWEA,T2C,38.336,-74.505,1/9/17 8:38,1/10/17 14:57,4/5/17 8:41,4/6/17 11:04,45,C-POD,2494,NA,NA,NA,Continuous,,,,Common: https://drive.google.com/open?id=1fycbj6_VZCE7tWu0TzddyE-7x3HJb3IP,,
53,2017,1,MWEA,A5C,38.336,-74.723,1/9/17 8:12,1/11/17 11:45,4/5/17 9:47,4/6/17 10:55,27.5,C-POD,2807,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1G0vBiPKb8wa0BR75eo1RoQLDLNnzqOT3,,
54,2017,1,MWEA,A5C,38.336,-74.723,1/9/17 18:15,1/11/17 11:45,4/5/17 9:47,4/5/17 10:20,27.5,SM3M,681787,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,,,,SM3M 2016 Feb-2018 Apr,,A5C Prefix,
58,2017,1,MWEA,W3C,38.396,-74.784,1/9/17 8:40,1/11/17 16:05,4/5/17 11:34,4/6/17 10:25,26.3,C-POD,2592,NA,NA,NA,Continuous,,,,,,
55,2017,1,MWEA,T1C,38.336,-74.949,1/9/17 8:23,1/11/17 19:59,4/5/17 11:37,4/6/17 10:30,19,C-POD,2593,NA,NA,NA,Continuous,,,,https://drive.google.com/open?id=1a3K3PSQBDeJ2LsN6PEg0pElMkqdnLOxu,,
67,2017,4,MWEA,W2C/New2,38.371,-74.754,4/2/17 13:28,4/4/17 9:04,6/14/17 13:22,6/19/17 13:26,27.7,C-POD,2497,NA,NA,NA,Continuous,,,,,,
70,2017,4,MWEA,W4C/New4,38.423,-74.774,4/2/17 13:19,4/4/17 9:40,6/14/17 11:51,6/14/17 19:29,26,C-POD,2493,NA,NA,NA,Continuous,,,,,,
65,2017,4,MWEA,W1C,38.353,-74.742,4/4/17 0:00,4/4/17 10:43,6/15/17 11:45,4/29/17 5:15,27.5,SM3M,681763,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,5 min on and 10 off,,,SM3M 2016 Feb-2018 Apr,,Incorrect prefix A5C,
66,2017,4,MWEA,W1C/New1,38.353,-74.742,4/3/17 9:12,4/4/17 10:43,6/15/17 11:45,6/19/17 13:35,27.5,C-POD,2859,NA,NA,NA,Continuous,,,,,New1,
64,2017,4,MWEA,T3C,38.336,-74.35,4/3/17 9:10,4/5/17 7:52,6/13/17 7:25,6/14/17 19:22,42,C-POD,2591,NA,NA,NA,Continuous,,,,,,
63,2017,4,MWEA,T2C,38.336,-74.505,4/2/17 12:19,4/5/17 9:02,6/15/17 11:44,6/19/17 13:30,45,C-POD,2491,NA,NA,NA,Continuous,,,,,,
59,2017,4,MWEA,A5C,38.336,-74.723,4/2/17 12:43,4/5/17 10:08,6/16/17 10:40,6/19/17 13:23,27.5,C-POD,2492,NA,NA,NA,Continuous,,,,,,
60,2017,4,MWEA,A5C,38.336,-74.723,4/5/17 0:00,4/5/17 10:08,6/16/17 10:40,6/15/17 11:50,27.5,SM3M,681863,165 dB re 1V/µPa,12 dB re 1 µPa,48 kHz,5 min on and 10 off,,,SM3M 2016 Feb-2018 Apr,,Correct A5C prefix,
68,2017,4,MWEA,W3C,38.396,-74.784,4/5/17 5:00,4/5/17 11:02,6/16/17 10:40,6/15/17 7:15,26.3,Soundtrap,67649542,,,,5 min on and 10 off??,,,C-POD,,Time in EDT,
69,2017,4,MWEA,W3C/CS1,38.396,-74.784,4/2/17 13:00,4/5/17 11:02,6/16/17 10:40,6/19/17 13:53,26.3,C-POD,2496,NA,NA,NA,Continuous,,,,,CS1,
61,2017,4,MWEA,T1C,38.336,-74.949,4/2/17 12:31,4/5/17 11:54,6/14/17 12:02,6/14/17 19:26,19,C-POD,2846,NA,NA,NA,Continuous,,,,,,
